Time,Plasmact,H-alpha,Mirnov,DeltaR,SXR
-11.07999897,-0.022997126,-0.02196,0.087839998,14.24773026,0.02196
-11.05999947,-0.022997126,-0.01708,0.087836509,14.24773026,0.021961395
-11.03999901,-0.022997126,-0.01464,0.075642793,14.24773026,0.026839534
-11.0199995,-0.022997126,-0.01952,0.104919418,14.24773026,0.021960581
-10.99999905,-0.022997126,-0.00488,0.102480111,14.24773026,0.0244
-10.97999954,-0.022997126,-0.01464,0.104921396,14.24773026,0.024399069
-10.95999908,-0.022997126,-0.0122,0.112233487,14.24773026,0.01952093
-10.93999958,-0.022997126,-0.00488,0.095161396,14.24773026,0.021960349
-10.91999912,-0.022997126,-0.01708,0.104912671,14.24773026,0.0244
-10.89999962,-0.022997126,-0.043919999,0.082960926,14.24773026,0.024399767
-10.87999916,-0.022997126,-0.048799999,0.092722794,14.24773026,0.02196
-10.85999966,-0.022997126,-0.039039999,0.102480111,14.24773026,0.02196
-10.8399992,-0.022997126,0,0.104921745,14.24773026,0.02196
-10.81999969,-0.022997126,-0.01464,0.112240002,14.24773026,0.02196
-10.79999924,-0.022997126,-0.039039999,0.114676741,14.24773026,0.024399534
-10.77999973,-0.023324919,0.00244,0.097602441,14.80856206,0.02196
-10.75999928,-0.023652728,-0.036600001,0.104919302,15.36942062,0.021960349
-10.73999977,-0.023980521,-0.0244,0.1000386,15.93025242,0.024399302
-10.71999931,-0.02430833,-0.00244,0.095160233,16.49111098,0.021959767
-10.69999886,-0.024636138,0.00732,0.097598602,17.05196953,0.019519302
-10.67999935,-0.024963931,0.01952,0.092719653,17.61280134,0.017079883
-10.65999889,-0.02529174,-0.00976,0.085404072,18.17365989,0.014641163
-10.63999939,-0.025619533,-0.029279999,0.102479994,18.7344917,0.01952
-10.61999893,-0.025947342,0.01708,0.109800461,19.29535025,0.01952
-10.59999943,-0.026275135,-0.029279999,0.112240816,19.85618206,0.019522442
-10.57999897,-0.026602943,-0.02196,0.114678603,17.13636408,0.026838952
-10.55999947,-0.026930736,-0.00488,0.10491651,14.41651935,0.01952
-10.53999901,-0.027258545,-0.01952,0.092719536,11.69654493,0.019520698
-10.5199995,-0.027586338,-0.0122,0.08784058,8.976700205,0.026838836
-10.49999905,-0.027914146,-0.029279999,0.090280462,6.256725784,0.021960232
-10.47999954,-0.028241939,0.00976,0.100042789,3.536881059,0.026839069
-10.45999908,-0.028569748,-0.036600001,0.114676277,0.816906638,0.021958138
-10.43999958,-0.02889754,-0.01708,0.104918603,-1.902938087,0.017080349
-10.41999912,-0.029225349,-0.00488,0.095161629,-4.622912508,0.01952
-10.39999962,-0.029553142,-0.039039999,0.100039065,-7.342757233,0.019520465
-10.37999916,-0.029446177,-0.00488,0.090282788,-6.85596087,0.024397906
-10.35999966,-0.029339175,-0.031719998,0.100039763,-6.36888189,0.017080349
-10.3399992,-0.029232168,-0.01708,0.095161163,-5.881779683,0.0244
