Time,Plasmact,H-alpha,Mirnov,DeltaR,SXR
-11.07999897,0.014334988,-0.048799999,0.090279996,0.953311086,0.0244
-11.05999947,0.014334988,0.00976,0.090281392,0.953311086,0.024402791
-11.03999901,0.014334988,-0.056120001,0.09516256,0.953311086,0.034159534
-11.0199995,0.014334988,0.053679999,0.121996504,0.953311086,0.029277673
-10.99999905,0.014334988,-0.00976,0.107359649,0.953311086,0.019520349
-10.97999954,0.014334988,-0.097599998,0.100041393,0.953311086,0.026838603
-10.95999908,0.014334988,0.01708,0.1073479,0.953311086,0.019519069
-10.93999958,0.014334988,-0.043919999,0.075643841,0.953311086,0.017081047
-10.91999912,0.014334988,-0.01952,0.102479994,0.953311086,0.024398371
-10.89999962,0.014334988,-0.01464,0.102481158,0.953311086,0.019520698
-10.87999916,0.014334988,0.00244,0.114668833,0.953311086,0.026839999
-10.85999966,0.014334988,0,0.075640117,0.953311086,0.026839767
-10.8399992,0.014334988,-0.039039999,0.078085233,0.953311086,0.02196
-10.81999969,0.014334988,0.02196,0.100039996,0.953311086,0.02196
-10.79999924,0.014334988,-0.034159999,0.112236278,0.953311086,0.021960931
-10.77999973,0.014195718,-0.01708,0.092719188,0.318174808,0.026839185
-10.75999928,0.014056442,0.00732,0.090279298,-0.316991757,0.0244
-10.73999977,0.013917172,-0.01464,0.085406282,-0.952128035,0.024400697
-10.71999931,0.013777896,-0.00976,0.107359765,-1.587294599,0.026839301
-10.69999886,0.01363862,-0.0244,0.104911625,-2.222461164,0.019522093
-10.67999935,0.01349935,-0.00488,0.075640233,-2.857597442,0.026839767
-10.65999889,0.013360074,-0.01464,0.080522905,-3.492764007,0.021960581
-10.63999939,0.013220804,-0.00976,0.092720002,-4.127900285,0.0244
-10.61999893,0.013081528,-0.0244,0.107353947,-4.763066849,0.019519069
-10.59999943,0.012942258,-0.0122,0.075644072,-5.398203127,0.014641628
-10.57999897,0.013672568,-0.00488,0.087838602,-5.305875893,0.01952
-10.55999947,0.014402885,-0.00488,0.07808628,-5.213518373,0.019520698
-10.53999901,0.015133236,-0.0122,0.100039531,-5.121156449,0.02196
-10.5199995,0.015863552,-0.01708,0.095158837,-5.028798928,0.021962908
-10.49999905,0.016593903,-0.161039993,0.090280113,-4.936437004,0.034160232
-10.47999954,0.01732422,-0.02196,0.092717675,-4.844079484,0.039033948
-10.45999908,0.018054571,0.01708,0.08052558,-4.751717559,0.007331167
-10.43999958,0.018784887,0,0.09516384,-4.659360039,0.036597907
-10.41999912,0.019515239,0.026839999,0.121989408,-4.566998115,0.021960814
-10.39999962,0.020245555,0.036600001,0.090279531,-4.474640594,0.024399534
-10.37999916,0.019671578,-0.00976,0.085404886,12.74355172,0.019520698
-10.35999966,0.019097505,-0.00244,0.102481274,29.9625563,0.02196
-10.3399992,0.018523404,-0.00488,0.129315924,47.18238198,0.02196
-10.31999969,0.01794933,-0.039039999,0.112240002,64.40138657,0.02196
-10.29999924,0.017375229,-0.00244,0.114674879,81.62121224,0.029276741
-10.27999973,0.016801156,-0.00488,0.087836741,98.84021683,0.012201628
-10.25999928,0.016227055,0.043919999,0.07808349,116.0600425,0.017080349
-10.23999977,0.015652981,-0.031719998,0.102478598,133.2790471,0.019520698
-10.21999931,0.01507888,-0.01952,0.097601162,150.4988728,0.02196
-10.19999886,0.014504779,-0.00488,0.109790923,167.7154858,0.021959302
-10.17999935,0.013930717,-0.00488,0.078080348,151.2487222,0.01952
-10.15999889,0.013356627,0.00488,0.085404653,134.7811734,0.019520581
-10.13999939,0.012782565,-0.00488,0.10492,118.3144098,0.02196
-10.11999893,0.012208475,-0.0244,0.100041858,101.8468609,0.026839069
-10.09999943,0.011634412,-0.01952,0.10979511,85.38009729,0.02196
-10.07999897,0.011060322,-0.036600001,0.095160698,68.91254844,0.02195965
-10.05999947,0.01048626,-0.036600001,0.100042788,52.44578482,0.019520698
-10.03999901,0.00991217,-0.026839999,0.1097986,35.97823598,0.021960232
-10.0199995,0.009338108,-0.01952,0.095158837,19.51147235,0.024399418
-9.999999046,0.008764018,-0.01464,0.090280113,3.044682392,0.02196
-9.979999542,0.008189955,0.00244,0.092725122,2.492374638,0.021960465
-9.959999084,0.007615865,-0.00244,0.119557204,1.940040548,0.0244
-9.93999958,0.007041803,0,0.112237907,1.387732794,0.0244
-9.919999123,0.006467713,-0.00244,0.097600812,0.835398703,0.024399185
-9.899999619,0.00589365,-0.01708,0.100039298,0.283090949,0.02196
-9.879999161,0.005319561,-0.02196,0.092725585,-0.269243142,0.02196
-9.859999657,0.004745498,-0.034159999,0.112239885,-0.821550895,0.02196
-9.839999199,0.004171408,-0.01708,0.10979767,-1.373884986,0.021959418
-9.819999695,0.003597346,-0.0122,0.100039996,-1.92619274,0.01952
-9.799999237,0.003023256,0.00976,0.097600929,-2.478526831,0.026839534
-9.779999733,0.002883986,0.026839999,0.102488137,-2.478526831,0.024399185
-9.759999275,0.00274471,-0.063439995,0.126877895,-2.478526831,0.02196
-9.739999771,0.00260544,0,0.112235814,-2.478526831,0.021959302
-9.719999313,0.002466164,0.01952,0.097599765,-2.478526831,0.019519767
-9.699998856,0.002326888,-0.039039999,0.095160698,-2.478526831,0.017082791
-9.679999352,0.002187618,0.01708,0.097600929,-2.478526831,0.026839534
-9.659998894,0.002048342,0,0.11711709,-2.478526831,0.017081745
-9.63999939,0.001909072,0.036600001,0.10492,-2.478526831,0.0244
-9.619998932,0.001769796,-0.00488,0.087844188,-2.478526831,0.019521396
-9.599999428,0.001630527,0.00244,0.109796739,-2.478526831,0.026838371
-9.57999897,0.001926043,0.00488,0.100041393,5.338097115,0.02195965
-9.559999466,0.002221567,-0.070759997,0.109804882,13.15472106,0.019521396
-9.539999008,0.002517104,0.00976,0.126878128,20.97171774,0.024399534
-9.519999504,0.002812627,-0.00976,0.107355927,28.78834169,0.019520581
-9.499999046,0.003108165,-0.00976,0.090280811,36.60533837,0.021960232
-9.479999542,0.003403688,-0.00976,0.107364653,44.42196231,0.026838603
-9.459999084,0.003699225,-0.00244,0.131759071,52.23895899,0.019521861
-9.43999958,0.003994749,0.00244,0.12931441,60.05558294,0.024400349
-9.419999123,0.004290286,-0.048799999,0.090285696,67.87257962,0.026840814
-9.399999619,0.004585809,-0.039039999,0.107360696,75.68920357,0.029279767
-9.379999161,0.004881352,0.036600001,0.114671624,68.11881046,0.02683651
-9.359999657,0.005176881,-0.034159999,0.085402095,60.54731083,0.014640698
-9.339999199,0.005472424,-0.036600001,0.129318251,52.97545016,0.029277673
-9.319999695,0.005767953,0.01464,0.121999994,45.40395053,0.01952
-9.299999237,0.006063496,-0.051239997,0.090282324,37.83208986,0.017080931
-9.279999733,0.006359025,-0.00732,0.102471037,30.26059023,0.021958371
-9.259999275,0.006654568,0,0.075645237,22.68872956,0.017081396
-9.239999771,0.006950097,-0.00488,0.112236512,15.11722993,0.026838604
-9.219999313,0.00724564,-0.02196,0.10004116,7.545369257,0.021959767
-9.199999809,0.00754119,-0.026839999,0.112238838,-0.025034391,0.019520581
