Time,Plasmact,H-alpha,Mirnov,DeltaR,SXR
-11.07999897,0.076736346,-0.02196,0.107359998,-0.828602552,0.0244
-11.05999947,0.076736346,-0.01708,0.107357206,-0.828602552,0.024399302
-11.03999901,0.076736346,-0.01708,0.097599533,-0.828602552,0.02196
-11.0199995,0.076736346,-0.0122,0.092716512,-0.828602552,0.02196
-10.99999905,0.076736346,-0.0244,0.078080115,-0.828602552,0.021960116
-10.97999954,0.076736346,-0.0122,0.080524651,-0.828602552,0.024400465
-10.95999908,0.076736346,0.00732,0.104918139,-0.828602552,0.026839069
-10.93999958,0.076736346,-0.00488,0.100040345,-0.828602552,0.0244
-10.91999912,0.076736346,-0.00488,0.102480809,-0.828602552,0.024397557
-10.89999962,0.076736346,-0.00244,0.104922094,-0.828602552,0.017079767
-10.87999916,0.076736346,0.01464,0.126869521,-0.828602552,0.014642791
-10.85999966,0.076736346,0.0244,0.090279764,-0.828602552,0.0244
-10.8399992,0.076736346,-0.051239997,0.085404072,-0.828602552,0.024399418
-10.81999969,0.076736346,-0.00488,0.102479994,-0.828602552,0.02196
-10.79999924,0.076736346,0.0122,0.090283255,-0.828602552,0.029278138
-10.77999973,0.076449315,-0.053679999,0.107359184,-1.157356178,0.019520814
-10.75999928,0.076162269,-0.0122,0.104917905,-1.486125481,0.021960349
-10.73999977,0.075875238,-0.02196,0.090280694,-1.814879107,0.024398604
-10.71999931,0.075588193,0.00976,0.092720467,-2.14364841,0.019520698
-10.69999886,0.075301148,-0.01708,0.097605582,-2.472417712,0.026837906
-10.67999935,0.075014117,-0.0122,0.11711895,-2.801171338,0.019520116
-10.65999889,0.074727072,0.00732,0.09516349,-3.129940641,0.021960581
-10.63999939,0.07444004,-0.043919999,0.109799996,-3.458694267,0.0244
-10.61999893,0.074152995,-0.01952,0.114677207,-3.787463569,0.017081862
-10.59999943,0.073865964,-0.039039999,0.100041625,-4.116217195,0.026838371
-10.57999897,0.074013712,-0.046360001,0.104917207,-4.206782564,0.02196
-10.55999947,0.074161473,0.0244,0.085397208,-4.297332255,0.021960698
-10.53999901,0.074309242,-0.026839999,0.075641862,-4.387886265,0.024399301
-10.5199995,0.074457004,0.02196,0.095162908,-4.478435956,0.017083489
-10.49999905,0.074604772,-0.02196,0.107360929,-4.568989966,0.031719648
-10.47999954,0.074752534,-0.0244,0.126879525,-4.659539657,0.024398603
-10.45999908,0.074900303,-0.026839999,0.124437208,-4.750093667,0.017085583
-10.43999958,0.075048064,0.00488,0.117119649,-4.840643359,0.031717554
