Time,Plasmact,H-alpha,Mirnov,DeltaR,SXR
-11.07999897,0.021842172,0.02196,-0.00488,7.152375698,0.0244
-11.05999947,0.021842172,0.01708,-0.004877906,7.152375698,0.024401395
-11.03999901,0.021842172,0.00732,0.002439767,7.152375698,0.029279999
-11.0199995,0.021842172,0.00732,-1.16E-06,7.152375698,0.029278836
-10.99999905,0.021842172,-0.00732,-0.004879767,7.152375698,0.0244
-10.97999954,0.021842172,-0.00488,-9.31E-07,7.152375698,0.024400465
-10.95999908,0.021842172,-0.02196,-0.004879069,7.152375698,0.026839069
-10.93999958,0.021842172,-0.026839999,-0.002439651,7.152375698,0.0244
-10.91999912,0.021842172,-0.01708,-8.14E-07,7.152375698,0.024400814
-10.89999962,0.021842172,-0.02196,-0.00244,7.152375698,0.026839999
-10.87999916,0.021842172,-0.00976,-0.002440698,7.152375698,0.026839999
-10.85999966,0.021842172,-0.01464,-0.004879767,7.152375698,0.026839767
-10.8399992,0.021842172,-0.00244,0,7.152375698,0.021960581
-10.81999969,0.021842172,0.00488,0,7.152375698,0.0244
-10.79999924,0.021842172,-0.00488,-0.007319069,7.152375698,0.026839999
-10.77999973,0.02131057,0,-0.0024457,6.10835168,0.026839185
-10.75999928,0.020778943,-0.036600001,-0.019516509,5.064277878,0.02439965
-10.73999977,0.020247341,-0.02196,0.004879302,4.02025386,0.021960698
-10.71999931,0.019715713,-0.01952,0.002438836,2.976180058,0.024400465
-10.69999886,0.019184086,0.034159999,-0.009755114,1.932106256,0.02927651
-10.67999935,0.018652483,-0.031719998,0.007318487,0.888082239,0.017080349
-10.65999889,0.018120856,-0.0122,-0.024393602,-0.155991563,0.024401163
-10.63999939,0.017589254,0.00976,0.00244,-1.200015581,0.029279999
-10.61999893,0.017057626,-0.051239997,-0.002440931,-2.244089383,0.0244
-10.59999943,0.016526024,0.00976,-0.007316743,-3.288113401,0.0244
-10.57999897,0.016863982,-0.026839999,0.002438953,-3.338372225,0.02439965
-10.55999947,0.017201966,0.0122,-0.004879302,-3.388581264,0.021961395
-10.53999901,0.017539966,-0.041479997,-0.002439767,-3.438792698,0.026839534
-10.5199995,0.01787795,0.01464,-5.82E-07,-3.489001737,0.021961163
-10.49999905,0.018215949,0.01708,-0.002440233,-3.539213171,0.026839767
