Time,Plasmact,H-alpha,Mirnov,DeltaR,SXR
-11.07999897,0.073237523,-0.00244,0.107359998,-9.902973175,0.029279999
-11.05999947,0.073237523,-0.00976,0.107357904,-9.902973175,0.029279301
-11.03999901,0.073237523,-0.00732,0.100039298,-9.902973175,0.026839534
-11.0199995,0.073237523,0,0.092721747,-9.902973175,0.021960581
-10.99999905,0.073237523,-0.0122,0.100040694,-9.902973175,0.024399534
-10.97999954,0.073237523,-0.00732,0.114676276,-9.902973175,0.014641396
-10.95999908,0.073237523,0.00244,0.095160931,-9.902973175,0.021959069
-10.93999958,0.073237523,-0.00488,0.097599649,-9.902973175,0.019521396
-10.91999912,0.073237523,-0.00976,0.095162443,-9.902973175,0.029279185
-10.89999962,0.073237523,-0.00732,0.102479994,-9.902973175,0.026840232
-10.87999916,0.073237523,-0.00976,0.102479994,-9.902973175,0.029278604
-10.85999966,0.073237523,0.0122,0.102479994,-9.902973175,0.0244
-10.8399992,0.073237523,0.029279999,0.102481158,-9.902973175,0.024400581
-10.81999969,0.073237523,0.036600001,0.107359998,-9.902973175,0.026839999
-10.79999924,0.073237523,0.0122,0.100041858,-9.902973175,0.034157672
-10.77999973,0.072361144,0.0122,0.10979511,-9.181406376,0.021963257
-10.75999928,0.071484723,0.01708,0.09516384,-8.45980517,0.031719299
-10.73999977,0.070608344,-0.00488,0.121996504,-7.738238371,0.026840697
-10.71999931,0.069731923,0,0.109799763,-7.016637165,0.029280232
-10.69999886,0.068855502,-0.01952,0.107359998,-6.295035958,0.0317193
-10.67999935,0.067979122,-0.01708,0.107358951,-5.57346916,0.029279767
-10.65999889,0.067102701,-0.02196,0.085409888,-4.851867953,0.024400581
-10.63999939,0.066226322,0.00732,0.12687999,-4.130301155,0.026839999
-10.61999893,0.065349901,0.00732,0.109800927,-3.408699948,0.026839999
-10.59999943,0.064473522,-0.036600001,0.114677557,-2.687133149,0.026839999
-10.57999897,0.064031893,-0.00244,0.107360696,-3.327282638,0.026838603
-10.55999947,0.063590307,0.01464,0.112243491,-3.967466534,0.017083489
-10.53999901,0.063148699,-0.00732,0.124438603,-4.607680957,0.029279301
-10.5199995,0.062707112,-0.048799999,0.109801741,-5.247864853,0.02196
-10.49999905,0.062265505,0.051239997,0.11712023,-5.888079276,0.021960465
-10.47999954,0.061823918,-0.00488,0.121996736,-6.528263172,0.031719067
-10.45999908,0.06138231,-0.01952,0.104923722,-7.168477595,0.026839999
-10.43999958,0.060940724,-0.00488,0.114680349,-7.808661491,0.026841047
-10.41999912,0.060499116,-0.01952,0.117120812,-8.448875915,0.034156742
-10.39999962,0.060057529,0.01464,0.119560461,-9.089059811,0.024400465
-10.37999916,0.060050694,-0.00488,0.124437906,-7.958814405,0.029278604
-10.35999966,0.060043899,0.00976,0.11712023,-6.828454044,0.024400232
-10.3399992,0.060037105,-0.01952,0.121999994,-5.698039781,0.029279418
-10.31999969,0.060030311,-0.01708,0.121999994,-4.56767942,0.026839999
-10.29999924,0.060023516,0,0.109804185,-3.437265158,0.024401396
-10.27999973,0.060016722,-0.026839999,0.131757558,-2.306904796,0.031717555
-10.25999928,0.060009928,0,0.124441396,-1.176490534,0.024400698
-10.23999977,0.060003134,-0.01708,0.134195804,-0.046130173,0.029279301
-10.21999931,0.059996339,-0.01708,0.119560229,1.084284089,0.026839534
-10.19999886,0.059989545,0,0.121995108,2.214678827,0.02196
-10.17999935,0.059982752,-0.00244,0.104919418,3.140313765,0.021959534
-10.15999889,0.059975958,0.0244,0.092725818,4.065992841,0.012203489
-10.13999939,0.059969165,0.02196,0.117119998,4.991627779,0.026839999
-10.11999893,0.059962371,-0.039039999,0.107359532,5.917306855,0.024400465
-10.09999943,0.059955578,0.0122,0.104921628,6.842941792,0.026840814
-10.07999897,0.059948784,-0.00488,0.109799647,7.768620869,0.029279999
-10.05999947,0.059941991,-0.031719998,0.107363488,8.694255806,0.029278604
-10.03999901,0.059935198,-0.00244,0.119559763,9.619934883,0.024400698
-10.0199995,0.059928404,-0.01708,0.117121743,10.54556982,0.031718253
-9.999999046,0.059921611,0.01464,0.124439185,11.47101108,0.024400349
-9.979999542,0.059914817,-0.039039999,0.107362791,7.409386411,0.031719067
-9.959999084,0.059908022,0.01464,0.122008369,3.347568065,0.026839999
-9.93999958,0.059901228,0,0.143955461,-0.714056604,0.026840698
-9.919999123,0.059894434,-0.051239997,0.112246516,-4.77587495,0.03171674
-9.899999619,0.05988764,0.02196,0.131759536,-8.837499619,0.021960931
-9.879999161,0.059880846,-0.029279999,0.1268765,-12.89931797,0.031717206
-9.859999657,0.059874052,0.026839999,0.114681047,-16.96094263,0.021960349
-9.839999199,0.059867258,0.01464,0.136636508,-21.02276098,0.029279999
-9.819999695,0.059860464,-0.046360001,0.121999994,-25.08438565,0.029279999
-9.799999237,0.059853669,0.0244,0.124441396,-29.14620399,0.02440093
-9.779999733,0.059846876,-0.039039999,0.131756744,-25.25672034,0.029278371
-9.759999275,0.059840082,0.02196,0.122000343,-21.36705122,0.024400349
-9.739999771,0.059833288,-0.039039999,0.124437906,-17.47756756,0.026840697
-9.719999313,0.059826494,-0.029279999,0.117120696,-13.58789844,0.029279767
-9.699998856,0.0598197,0.00976,0.124437906,-9.698229313,0.026840697
-9.679999352,0.059812907,0.00244,0.117119532,-5.808745658,0.029279883
-9.659998894,0.059806113,0.00976,0.107361743,-1.919076534,0.026844071
-9.63999939,0.059799319,-0.00976,0.11468,1.970407121,0.043919999
-9.619998932,0.059792525,-0.029279999,0.119560927,5.860076245,0.031719067
-9.599999428,0.059785731,0.00244,0.124435114,9.749559899,0.026841628
-9.57999897,0.059778938,-0.00976,0.109800345,10.31293784,0.031719648
-9.559999466,0.059772145,0,0.112242095,10.8761303,0.029279999
-9.539999008,0.059765351,0,0.119558832,11.43934962,0.029279767
-9.519999504,0.059758558,-0.00976,0.107359998,12.00254209,0.026839999
-9.499999046,0.059751764,-0.00732,0.107360696,12.56576141,0.026840116
-9.479999542,0.059744971,-0.0122,0.121999528,13.12895388,0.029279999
-9.459999084,0.059738177,-0.00732,0.119556273,13.6921732,0.029279069
-9.43999958,0.059731384,-0.00732,0.109802789,14.25536567,0.026840349
-9.419999123,0.059724591,-0.0122,0.129319181,14.81858499,0.029279185
-9.399999619,0.059717797,-0.00732,0.12687999,15.38177746,0.026839999
-9.379999161,0.059711003,-0.00488,0.126880688,14.34390629,0.026839999
-9.359999657,0.059704209,0.00488,0.12931953,13.30593191,0.026839999
-9.339999199,0.059697414,-0.00244,0.119562904,12.26790804,0.026839999
-9.319999695,0.05969062,0.00244,0.131760001,11.22993366,0.026839999
-9.299999237,0.059683826,-0.00732,0.124441396,10.19190979,0.024401396
