Time,Plasmact,H-alpha,Mirnov,DeltaR,SXR
-11.07999897,-0.003566762,-0.02196,0.131760001,-16.46317291,0.01952
-11.05999947,-0.003566762,0.00488,0.131757209,-16.46317291,0.019521396
-11.03999901,-0.003566762,0.02196,0.121997899,-16.46317291,0.0244
-11.0199995,-0.003566762,0.00244,0.100038251,-16.46317291,0.024399418
-10.99999905,-0.003566762,0.01708,0.092720351,-16.46317291,0.02196
-10.97999954,-0.003566762,-0.0122,0.100040462,-16.46317291,0.021959534
-10.95999908,-0.003566762,-0.00488,0.102481855,-16.46317291,0.01952
-10.93999958,-0.003566762,-0.00244,0.107357205,-16.46317291,0.01952
-10.91999912,-0.003566762,0.00976,0.08783837,-16.46317291,0.01952
-10.89999962,-0.003566762,-0.0244,0.082961624,-16.46317291,0.01952
-10.87999916,-0.003566762,-0.00976,0.100044882,-16.46317291,0.01952
-10.85999966,-0.003566762,0.00976,0.117120463,-16.46317291,0.019520116
-10.8399992,-0.003566762,0.01464,0.126877664,-16.46317291,0.02196
-10.81999969,-0.003566762,0.00732,0.117119998,-16.46317291,0.02196
-10.79999924,-0.003566762,0.00244,0.126876266,-16.46317291,0.02196
-10.77999973,-0.003874175,-0.01708,0.107362441,-15.61826882,0.02196
-10.75999928,-0.004181601,-0.026839999,0.114677207,-14.77332444,0.02196
-10.73999977,-0.004489014,-0.00732,0.095157906,-13.92842035,0.021959302
-10.71999931,-0.00479644,-0.00488,0.087840929,-13.08347597,0.019519301
-10.69999886,-0.005103867,-0.01952,0.097601394,-12.23853159,0.012200698
-10.67999935,-0.005411279,0.00244,0.10248046,-11.3936275,0.01464
-10.65999889,-0.005718706,-0.043919999,0.112240002,-10.54868312,0.014640581
-10.63999939,-0.006026118,0.00244,0.112240002,-9.703779027,0.01708
-10.61999893,-0.006333545,0.02196,0.131756277,-8.858834647,0.031717205
-10.59999943,-0.006640957,-0.043919999,0.112237559,-8.013930556,0.017080814
-10.57999897,-0.006513591,0.00244,0.104922444,-7.663738065,0.019520349
-10.55999947,-0.006386211,0,0.121996504,-7.313585863,0.021958604
-10.53999901,-0.006258824,0.00488,0.109800461,-6.963416964,0.017080931
-10.5199995,-0.006131443,-0.00976,0.114677092,-6.613264762,0.026838255
-10.49999905,-0.006004056,0,0.102479529,-6.263095863,0.01952
-10.47999954,-0.005876675,0.01708,0.092720467,-5.912943662,0.019520465
-10.45999908,-0.005749289,-0.01708,0.095157208,-5.562774763,0.021959069
-10.43999958,-0.005621908,0.00976,0.087842093,-5.212622561,0.019520349
-10.41999912,-0.005494521,0,0.10248488,-4.862453662,0.021959185
-10.39999962,-0.00536714,-0.0122,0.117119998,-4.51230146,0.019519767
-10.37999916,-0.005239751,-0.00732,0.117118602,-7.838492977,0.017081396
-10.35999966,-0.005112368,-0.00488,0.112240002,-11.16487651,0.021959883
-10.3399992,-0.004984979,0.00244,0.112236512,-14.49141865,0.019520581
-10.31999969,-0.004857596,-0.0122,0.097599998,-17.81780218,0.02196
-10.29999924,-0.004730206,-0.00976,0.107359998,-21.14434433,0.029281396
-10.27999973,-0.004602823,-0.00488,0.107359998,-24.47072786,0.036597558
-10.25999928,-0.004475434,-0.00732,0.107361045,-27.79727001,0.029279301
-10.23999977,-0.004348051,0.068319999,0.114682791,-31.12365354,0.0244
-10.21999931,-0.004220662,-0.102479994,0.124437672,-34.45019568,0.024399069
-10.19999886,-0.004093314,-0.00488,0.100047674,-37.77619448,0.014643489
-10.17999935,-0.004400726,0.034159999,0.126879059,-35.40530122,0.026839534
-10.15999889,-0.004708153,0.00244,0.107358835,-33.03429491,0.01708
-10.13999939,-0.005015565,-0.0244,0.102479994,-30.66340164,0.01708
-10.11999893,-0.005322992,-0.01464,0.097599998,-28.29239533,0.026837672
-10.09999943,-0.005630404,0.036600001,0.097603255,-25.92150207,0.014642443
-10.07999897,-0.005937831,-0.01464,0.107358602,-23.55049575,0.02196
-10.05999947,-0.006245243,0.01464,0.097598602,-21.17960249,0.021958604
-10.03999901,-0.00655267,0.026839999,0.092721398,-18.80859618,0.017080698
-10.0199995,-0.006860082,-0.056120001,0.107362324,-16.43770291,0.024398836
-9.999999046,-0.007167488,0.00244,0.117119998,-14.06678809,0.019520232
-9.979999542,-0.007040107,0.0122,0.117119067,-13.61466385,0.024399069
-9.959999084,-0.00691272,0.00244,0.112243724,-13.16251804,0.01952
-9.93999958,-0.00678534,-0.00244,0.121998598,-12.71039379,0.019520349
-9.919999123,-0.006657953,-0.01952,0.112236745,-12.25824798,0.021957557
-9.899999619,-0.006530572,0.01464,0.102480925,-11.80612373,0.014640698
-9.879999161,-0.006403185,-0.031719998,0.112235814,-11.35397793,0.02196
-9.859999657,-0.006275805,-0.00244,0.097599998,-10.90185368,0.021960116
-9.839999199,-0.006148418,-0.00244,0.097597672,-10.44970787,0.024398836
-9.819999695,-0.006021037,-0.00976,0.087839998,-9.997583621,0.01952
-9.799999237,-0.00589365,0.058559999,0.082963718,-9.545437813,0.021960931
-9.779999733,-0.005331477,-0.0122,0.102478366,-10.88009439,0.026839185
-9.759999275,-0.004769276,0,0.097603489,-12.21481462,0.02439965
-9.739999771,-0.004207103,-0.01464,0.121997202,-13.5494712,0.02196
-9.719999313,-0.003644902,-0.0122,0.112240002,-14.88419142,0.02196
-9.699998856,-0.003082702,0,0.112240002,-16.21891165,0.02196
-9.679999352,-0.002520528,-0.0244,0.112239769,-17.55356823,0.02196
-9.659998894,-0.001958328,0.00244,0.107356508,-18.88828845,0.021961163
-9.63999939,-0.001396154,0,0.092720002,-20.22294503,0.026839999
-9.619998932,-0.000833954,0.080519997,0.112239071,-21.55766526,0.019521862
-9.599999428,-0.00027178,-0.01464,0.107361626,-22.89232184,0.029277557
-9.57999897,-0.000579166,0.043919999,0.112240351,-21.11802109,0.02195965
-9.559999466,-0.000886578,-0.00732,0.114679302,-19.3436567,0.019520698
-9.539999008,-0.001194004,0.00244,0.112241631,-17.56920769,0.021960698
-9.519999504,-0.001501417,-0.00488,0.129312435,-15.7948433,0.029277673
-9.499999046,-0.001808843,-0.053679999,0.097600464,-14.0203943,0.019519883
