Time,Plasmact,H-alpha,Mirnov,DeltaR,SXR
-11.07999897,0.037264176,-0.043919999,0.11468,-9.813216209,0.01952
-11.05999947,0.037264176,-0.034159999,0.114674416,-9.813216209,0.019520698
-11.03999901,0.037264176,0.0122,0.095161396,-9.813216209,0.021960465
-11.0199995,0.037264176,-0.031719998,0.109801159,-9.813216209,0.026837673
-10.99999905,0.037264176,0.0244,0.114679767,-9.813216209,0.017080116
-10.97999954,0.037264176,0.02196,0.109795341,-9.813216209,0.019520931
-10.95999908,0.037264176,-0.0244,0.0854,-9.813216209,0.024399069
-10.93999958,0.037264176,-0.01708,0.085401746,-9.813216209,0.021960698
-10.91999912,0.037264176,-0.01708,0.097604884,-9.813216209,0.026839185
-10.89999962,0.037264176,-0.00976,0.112240234,-9.813216209,0.024399767
-10.87999916,0.037264176,0.00488,0.114677906,-9.813216209,0.021960698
-10.85999966,0.037264176,-0.01464,0.107360813,-9.813216209,0.024399883
-10.8399992,0.037264176,-0.00976,0.124438255,-9.813216209,0.021959418
-10.81999969,0.037264176,-0.0122,0.117119998,-9.813216209,0.01952
-10.79999924,0.037264176,-0.0122,0.109801858,-9.813216209,0.019520931
-10.77999973,0.037082446,-0.01464,0.119551853,-11.01658554,0.0244
-10.75999928,0.036900708,-0.00732,0.095161746,-12.22001225,0.02439965
-10.73999977,0.036718978,-0.00976,0.1073593,-13.42338158,0.02196
-10.71999931,0.036537239,-0.00976,0.104919534,-14.62680829,0.021960232
-10.69999886,0.036355501,-0.00488,0.1000386,-15.830235,0.024399302
-10.67999935,0.036173771,-0.0122,0.09516,-17.03360433,0.021960116
-10.65999889,0.035992033,-0.01464,0.095158255,-18.23703105,0.0244
-10.63999939,0.035810303,-0.00976,0.087839998,-19.44040038,0.0244
-10.61999893,0.035628565,0,0.090279531,-20.64382709,0.026839069
-10.59999943,0.035446835,-0.0122,0.087845698,-21.84719642,0.021958371
-10.57999897,0.034395511,-0.00976,0.104918603,-18.90207201,0.017081047
-10.55999947,0.033344195,-0.00244,0.095164188,-15.95689022,0.0244
-10.53999901,0.032292829,-0.01708,0.109799065,-13.01156798,0.024399767
-10.5199995,0.031241513,-0.00488,0.100039996,-10.06638619,0.02196
-10.49999905,0.030190147,-0.00976,0.100040113,-7.12106396,0.021959883
-10.47999954,0.029138832,-0.0122,0.102477201,-4.175882168,0.019520465
-10.45999908,0.028087466,-0.0122,0.087848374,-1.230559936,0.021951624
-10.43999958,0.02703615,-0.041479997,0.109799298,1.714621856,2.09E-06
-10.41999912,0.025984784,-0.029279999,0.10492,4.659944088,0.014642443
-10.39999962,0.024933468,0.0122,0.104920698,7.60512588,0.021960232
-10.37999916,0.024316863,0.031719998,0.11223721,7.268643577,0.024399302
-10.35999966,0.023700329,-0.01952,0.102481158,6.931864333,0.021960116
-10.3399992,0.023083765,0.01952,0.1268765,6.59506903,0.024399418
-10.31999969,0.022467231,-0.058559999,0.112240002,6.258289787,0.02196
-10.29999924,0.021850667,0.0122,0.107361394,5.921494484,0.019521396
-10.27999973,0.021234133,-0.039039999,0.114680814,5.58471524,0.026838371
-10.25999928,0.020617569,0.0122,0.117116856,5.247919937,0.02196
-10.23999977,0.020001035,-0.01952,0.095162094,4.911140694,0.021960698
