Time,Plasmact,H-alpha,Mirnov,DeltaR,SXR
-11.07999897,-0.005503005,-0.01464,0.121999994,8.153441429,0.034159999
-11.05999947,-0.005503005,0.00732,0.1219979,8.153441429,0.034159999
-11.03999901,-0.005503005,-0.01952,0.11467744,8.153441429,0.034159767
-11.0199995,-0.005503005,-0.01952,0.087845233,8.153441429,0.031719998
-10.99999905,-0.005503005,0.01952,0.109800229,8.153441429,0.031719998
-10.97999954,-0.005503005,-0.0122,0.114674879,8.153441429,0.031721394
-10.95999908,-0.005503005,-0.036600001,0.087843721,8.153441429,0.039039069
-10.93999958,-0.005503005,-0.01952,0.097600696,8.153441429,0.036598256
-10.91999912,-0.005503005,0.01464,0.102469409,8.153441429,0.024404071
-10.89999962,-0.005503005,-0.100039996,0.070763255,8.153441429,0.036600001
-10.87999916,-0.005503005,0.029279999,0.10492349,8.153441429,0.036597209
-10.85999966,-0.005503005,0.00732,0.117119649,8.153441429,0.026840465
-10.8399992,-0.005503005,-0.01464,0.109798251,8.153441429,0.03659942
-10.81999969,-0.005503005,-0.00976,0.102479994,8.153441429,0.034159999
-10.79999924,-0.005503005,-0.0122,0.080520462,8.153441429,0.02928093
-10.77999973,-0.005492814,0.0122,0.082960809,3.497189322,0.034158371
-10.75999928,-0.005482623,-0.063439995,0.085404888,-1.159284817,0.029280698
-10.73999977,-0.005472433,0.0122,0.119560694,-5.815536924,0.034158603
-10.71999931,-0.005462242,0,0.121997201,-10.47201106,0.029279999
-10.69999886,-0.005452051,-0.029279999,0.092720002,-15.1284852,0.029281395
-10.67999935,-0.005441861,0.0122,0.092719653,-19.78473731,0.03415965
-10.65999889,-0.00543167,-0.02196,0.085402327,-24.44121145,0.026842908
-10.63999939,-0.005421479,0.01952,0.09516,-29.09746356,0.039039999
-10.61999893,-0.005411288,-0.034159999,0.10492,-33.7539377,0.034159534
-10.59999943,-0.005401098,-0.00488,0.104921628,-38.4101898,0.031720812
-10.57999897,-0.004521321,-0.00244,0.10979441,-35.47203956,0.03415965
-10.55999947,-0.003641545,-0.029279999,0.07076558,-32.53366728,0.031719998
-10.53999901,-0.002761727,0.00976,0.090282324,-29.59515489,0.031719998
-10.5199995,-0.00188195,-0.01708,0.11467651,-26.65678262,0.031719998
-10.49999905,-0.001002132,-0.00976,0.100040113,-23.71827023,0.031719998
-10.47999954,-0.000122356,-0.00488,0.102479994,-20.77989795,0.031719067
-10.45999908,0.000757462,0.00488,0.102466966,-17.84138556,0.026844652
-10.43999958,0.001637238,-0.00976,0.068324188,-14.90301329,0.039036857
-10.41999912,0.002517057,-0.041479997,0.097597555,-11.9645009,0.017090585
-10.39999962,0.003396833,-0.026839999,0.090281393,-9.026128621,0.048796973
-10.37999916,0.004276668,-0.036600001,0.104917208,-9.449714152,0.017086281
-10.35999966,0.005156461,-0.031719998,0.095159884,-9.873600127,0.039039301
-10.3399992,0.006036296,-0.02196,0.09271942,-10.29750632,0.024402908
-10.31999969,0.006916089,0,0.090279996,-10.72139229,0.036600001
-10.29999924,0.007795924,-0.01464,0.097601395,-11.14529848,0.029279999
-10.27999973,0.008675717,0.02196,0.104921628,-11.56918446,0.029282442
-10.25999928,0.009555552,-0.036600001,0.109799647,-11.99309065,0.036598954
-10.23999977,0.010435345,-0.00732,0.107353716,-12.41697662,0.029280697
-10.21999931,0.01131518,0.0122,0.085399767,-12.84088281,0.031719998
-10.19999886,0.012194932,-0.0122,0.082962088,-13.26460779,0.0317193
-10.17999935,0.012205122,-0.02196,0.090280695,-11.78845158,0.029280116
-10.15999889,0.012215313,-0.01708,0.104922908,-10.31222498,0.031719416
-10.13999939,0.012225504,0.00244,0.117119998,-8.836068765,0.029279999
-10.11999893,0.012235695,-0.00488,0.104920465,-7.359842162,0.039039999
-10.09999943,0.012245885,-0.00732,0.107357555,-5.883685949,0.039038371
-10.07999897,0.012256076,-0.01708,0.100042789,-4.407459346,0.034159301
-10.05999947,0.012266267,-0.01464,0.119559298,-2.931303134,0.029280697
-10.03999901,0.012276458,-0.01464,0.117118369,-1.455076531,0.031719998
-10.0199995,0.012286648,-0.0122,0.100038833,0.021079682,0.031719998
-9.999999046,0.012296818,-0.00976,0.095159884,1.49909515,0.031719998
-9.979999542,0.011872216,-0.00732,0.092720467,40.48954019,0.031720463
-9.959999084,0.011447593,-0.01464,0.095167445,79.48184448,0.034159069
-9.93999958,0.011022991,-0.00732,0.11468,118.4722895,0.031719648
-9.919999123,0.010598368,-0.00976,0.11468,157.4645938,0.029280814
-9.899999619,0.010173765,-0.01464,0.114678836,196.4550388,0.031719299
-9.879999161,0.009749143,-0.00976,0.102474411,235.4473431,0.024403489
-9.859999657,0.00932454,-0.01708,0.082960344,274.4377882,0.036599885
-9.839999199,0.008899918,-0.029279999,0.090280578,313.4300925,0.034159999
-9.819999695,0.008475315,-0.00244,0.092720002,352.4205375,0.034159999
-9.799999237,0.008050692,-0.01708,0.102482787,391.4128418,0.029279999
-9.779999733,0.00762609,-0.0122,0.117118369,351.7404368,0.029279999
-9.759999275,0.007201467,-0.00732,0.11223686,312.06614,0.029280349
-9.739999771,0.006776865,-0.00976,0.090281392,272.393735,0.031719998
-9.719999313,0.006352242,-0.00976,0.095163491,232.7194382,0.03172023
-9.699998856,0.005927619,-0.0244,0.131756511,193.0451415,0.034158603
-9.679999352,0.005503017,0,0.119558949,153.3727365,0.029280116
