Time,Plasmact,H-alpha,Mirnov,DeltaR,SXR
-11.07999897,-0.011549516,-0.00976,0.082959995,-6.797406197,0.0244
-11.05999947,-0.011549516,-0.0122,0.082958599,-6.797406197,0.024399302
-11.03999901,-0.011549516,-0.0122,0.078080697,-6.797406197,0.021959767
-11.0199995,-0.011549516,-0.01464,0.085404072,-6.797406197,0.019521163
-10.99999905,-0.011549516,-0.0122,0.102478598,-6.797406197,0.024400116
-10.97999954,-0.011549516,-0.00976,0.07320233,-6.797406197,0.026839069
-10.95999908,-0.011549516,-0.01708,0.085404653,-6.797406197,0.02196093
-10.93999958,-0.011549516,-0.0122,0.097598602,-6.797406197,0.0244
-10.91999912,-0.011549516,-0.01464,0.087840813,-6.797406197,0.0244
-10.89999962,-0.011549516,-0.00976,0.090279764,-6.797406197,0.024400232
-10.87999916,-0.011549516,-0.00732,0.087843488,-6.797406197,0.026838604
-10.85999966,-0.011549516,-0.00976,0.100039647,-6.797406197,0.021960465
-10.8399992,-0.011549516,-0.041479997,0.092724655,-6.797406197,0.031720579
-10.81999969,-0.011549516,0.0244,0.112240002,-6.797406197,0.034159999
-10.79999924,-0.011549516,-0.041479997,0.097600464,-6.797406197,0.021961396
-10.77999973,-0.011882404,-0.00732,0.100044068,-5.307854927,0.029279185
-10.75999928,-0.012215308,0.0244,0.112239303,-3.818232628,0.026839301
-10.73999977,-0.012548197,-0.051239997,0.107361394,-2.328681358,0.021962093
-10.71999931,-0.012881101,-0.031719998,0.11223814,-0.839059059,0.029279301
-10.69999886,-0.013214005,-0.01708,0.09272419,0.65056324,0.021961395
-10.67999935,-0.013546894,0.0122,0.107358951,2.14011451,0.026839999
-10.65999889,-0.013879798,-0.0244,0.085401745,3.629736809,0.026838255
-10.63999939,-0.014212686,-0.029279999,0.092720002,5.119288079,0.01952
-10.61999893,-0.01454559,0.036600001,0.090279065,6.608910378,0.026839069
-10.59999943,-0.014878479,-0.053679999,0.085400814,8.098461648,0.021962442
-10.57999897,-0.01477659,-0.026839999,0.087838951,6.668074527,0.02927965
-10.55999947,-0.014674685,-0.029279999,0.080522788,5.237616377,0.026837906
-10.53999901,-0.014572776,-0.043919999,0.090280229,3.807090015,0.019520698
-10.5199995,-0.014470871,-0.01464,0.092717094,2.376631865,0.026838836
-10.49999905,-0.014368962,-0.01708,0.080520695,0.946105504,0.021960116
-10.47999954,-0.014267057,0.00488,0.095158604,-0.484352646,0.024397672
-10.45999908,-0.014165148,-0.031719998,0.087843721,-1.914879008,0.012201861
-10.43999958,-0.014063243,-0.034159999,0.097602442,-3.345337158,0.01708
-10.41999912,-0.013961334,0.029279999,0.114672671,-4.775863519,0.017079185
-10.39999962,-0.013859429,-0.034159999,0.092719769,-6.206321669,0.014641396
-10.37999916,-0.013757518,-0.00488,0.09028209,-6.259434148,0.029279301
-10.35999966,-0.013655611,0,0.097599649,-6.312412731,0.02683965
-10.3399992,-0.0135537,-0.01708,0.090282323,-6.365393839,0.019521163
-10.31999969,-0.013451794,-0.00488,0.100039996,-6.418372422,0.0244
-10.29999924,-0.013349882,-0.041479997,0.092719071,-6.471353531,0.019521396
-10.27999973,-0.013247976,0.02196,0.087836741,-6.524332113,0.026839185
-10.25999928,-0.013146065,-0.046360001,0.078079998,-6.577313222,0.0244
-10.23999977,-0.013044158,-0.01708,0.07808279,-6.630291805,0.024400697
-10.21999931,-0.012942247,-0.00488,0.087839067,-6.683272914,0.026839767
-10.19999886,-0.012840336,-0.034159999,0.078084186,-6.73624778,0.024401395
-10.17999935,-0.012738431,0,0.092719769,-6.72376907,0.02927965
-10.15999889,-0.012636522,-0.029279999,0.087841162,-6.711289765,0.021960581
-10.13999939,-0.012534617,0,0.092720002,-6.698811055,0.0244
-10.11999893,-0.012432708,-0.0244,0.104918603,-6.686331751,0.026838603
-10.09999943,-0.012330803,-0.031719998,0.097600812,-6.673853041,0.019523257
-10.07999897,-0.012228893,0.00244,0.100038251,-6.661373736,0.029278952
-10.05999947,-0.012126989,-0.026839999,0.087844884,-6.648895026,0.021961395
-10.03999901,-0.012025079,-0.0122,0.104918603,-6.636415721,0.026839999
-10.0199995,-0.011923175,-0.01708,0.090279415,-6.623937011,0.026841744
-9.999999046,-0.011821244,-0.078079998,0.087840464,-6.611435411,0.034160116
-9.979999542,-0.011284547,-0.036600001,0.097595343,-6.131393444,0.036598139
-9.959999084,-0.010747824,-0.029279999,0.073201863,-5.651328585,0.026839999
-9.93999958,-0.010211126,0.01708,0.078081395,-5.171286618,0.02683965
-9.919999123,-0.009674403,-0.0244,0.087841627,-4.69122176,0.024398371
-9.899999619,-0.009137706,-0.00488,0.092720467,-4.211179793,0.019520232
-9.879999161,-0.008600983,-0.07564,0.097600696,-3.731114935,0.021960698
-9.859999657,-0.008064285,0.039039999,0.100039763,-3.251072968,0.024400349
-9.839999199,-0.007527562,-0.034159999,0.095157674,-2.77100811,0.031719416
-9.819999695,-0.006990864,-0.031719998,0.0854,-2.290966142,0.029279999
-9.799999237,-0.006454141,-0.00732,0.10492,-1.810901284,0.024400465
-9.779999733,-0.006352237,-0.0244,0.104920814,-1.464083509,0.026839185
-9.759999275,-0.006250327,-0.029279999,0.107357554,-1.117249196,0.024400698
-9.739999771,-0.006148423,-0.01952,0.090277903,-0.770431421,0.029277208
-9.719999313,-0.006046513,-0.0244,0.082961158,-0.423597108,0.019520232
-9.699998856,-0.005944604,-0.01708,0.095158604,-0.076762795,0.021962093
-9.679999352,-0.0058427,0.034159999,0.090279647,0.27005498,0.02927965
-9.659998894,-0.00574079,0.01464,0.082963484,0.616889292,0.021959418
-9.63999939,-0.005638886,-0.01708,0.097599998,0.963707067,0.01952
-9.619998932,-0.005536976,-0.0122,0.092722329,1.31054138,0.019520931
-9.599999428,-0.005435072,-0.0122,0.104918371,1.657359155,0.024400814
-9.57999897,-0.005767955,-0.01464,0.100040694,0.672888348,0.026840349
-9.559999466,-0.006100843,-0.029279999,0.10492,-0.311598996,0.029278604
-9.539999008,-0.006433748,0,0.104921164,-1.296133287,0.024400232
-9.519999504,-0.006766636,-0.026839999,0.117117671,-2.280620631,0.026839418
-9.499999046,-0.00709954,-0.034159999,0.1073593,-3.265154921,0.024399883
-9.479999542,-0.007432428,-0.034159999,0.092722329,-4.249642266,0.021960465
-9.459999084,-0.007765333,-0.036600001,0.104926514,-5.234176556,0.024399069
-9.43999958,-0.008098221,-0.0244,0.121995805,-6.218663901,0.02195965
-9.419999123,-0.008431125,-0.031719998,0.092726516,-7.203198191,0.019522442
-9.399999619,-0.008764014,-0.01708,0.112239769,-8.187685536,0.026839767
-9.379999161,-0.009531705,-0.01464,0.1097986,-15.93192121,0.0244
-9.359999657,-0.0102994,0.00488,0.104920931,-23.6764323,0.0244
-9.339999199,-0.011067133,-0.00488,0.12443302,-31.42131267,0.0244
-9.319999695,-0.011834829,-0.00244,0.09516,-39.16582376,0.0244
-9.299999237,-0.012602561,-0.00732,0.080520928,-46.91070414,0.026839999
-9.279999733,-0.013370257,-0.01464,0.085397557,-54.65521522,0.026838371
-9.259999275,-0.014137989,-0.01952,0.078079998,-62.4000956,0.021960698
-9.239999771,-0.014905685,-0.02196,0.07808628,-70.14460668,0.026839302
-9.219999313,-0.015673418,-0.053679999,0.100039531,-77.88948706,0.024399767
-9.199999809,-0.016441093,-0.00732,0.095161745,-85.63311087,0.021957673
-9.179999352,-0.016773997,-0.01952,0.102479645,-74.77009373,0.012200465
-9.159998894,-0.017106901,-0.036600001,0.095165235,-63.9070766,0.021960581
-9.13999939,-0.017439789,0.01952,0.117119998,-53.04457744,0.0244
-9.119998932,-0.017772693,-0.01708,0.107359998,-42.18156031,0.021961396
-9.099999428,-0.018105581,-0.01952,0.107359998,-31.31906115,0.029279185
-9.07999897,-0.018438486,-0.01708,0.107358951,-20.45604401,0.026838952
-9.059999466,-0.018771374,-0.0122,0.100042788,-9.593544854,0.019522791
-9.039999008,-0.019104278,0.029279999,0.109799996,1.269472281,0.029278603
-9.019999504,-0.019437166,-0.031719998,0.109798251,12.13197144,0.014642908
-8.999999046,-0.019770049,0.026839999,0.102479296,22.9943057,0.026839883
-8.979999542,-0.019668145,0.00732,0.087841395,19.53626665,0.024399534
-8.959999084,-0.019566235,-0.026839999,0.095163722,16.0780627,0.02196093
-8.93999958,-0.019464331,0.02196,0.104917207,12.62002365,0.024399301
-8.919999123,-0.019362421,-0.039039999,0.085400814,9.161819702,0.019521628
-8.899999619,-0.019260516,-0.00244,0.087840697,5.703780651,0.0244
-8.879999161,-0.019158607,-0.01464,0.095160698,2.245576704,0.024400697
-8.859999657,-0.019056702,-0.01464,0.09760058,-1.212462348,0.026839883
-8.839999199,-0.018954793,0.00488,0.109797088,-4.670666295,0.024400581
-8.819999695,-0.018852888,-0.031719998,0.097599998,-8.128705347,0.026839999
-8.799999237,-0.018750979,-0.01464,0.102481856,-11.58690929,0.036600932
-8.779999733,-0.018649074,0.029279999,0.112240816,-10.73453796,0.041474297
-8.759999275,-0.018547165,-0.00488,0.11467581,-9.882125973,0.0244
-8.739999771,-0.01844526,-0.051239997,0.085401396,-9.029754635,0.024401395
-8.719999313,-0.01834335,0.01952,0.090279996,-8.177342651,0.029279068
-8.699999809,-0.018241446,-0.0244,0.09028116,-7.324971313,0.019521744
-8.679999352,-0.018139536,-0.02196,0.095160233,-6.47255933,0.026839767
-8.659998894,-0.018037627,-0.00488,0.10003767,-5.620147346,0.02196
