Actual TTD,Predicted TTD
0.0,-0.038094044
0.0,-0.10119009
0.0,-0.018599033
0.0,0.21299934
55.82000038,40.233147
5.70000061,5.511255
9.65999908,9.91658
0.0,-0.0092206
39.14000107,53.45237
0.0,-0.05202532
4.16000244,3.1232092
0.0,-0.038128853
44.36,69.55041
0.0,0.3035612
0.0,-0.36003542
50.99999878,57.029854
0.0,-0.19855309
40.76000107,23.601538
64.50000107,57.65634
38.37999878,26.947647
43.03999878,41.890076
6.18000153,12.7525215
53.68000023,71.37115
0.0,0.22163582
0.0,0.08967781
52.03999893,56.761818
5.31999908,10.659906
0.07999725,1.0505004
76.75999947,58.28203
30.64000122,28.679636
0.0,0.573308
0.0,0.044804573
0.10000305,2.4137664
37.26000168,39.74163
0.0,0.09093332
41.92000046,31.793566
0.0,0.37709904
30.89999901,54.814636
41.92000122,31.52682
64.97999893,59.23816
79.17999916,68.87213
0.0,0.17156506
83.22000008,71.37917
0.0,-0.048743248
28.55999817,26.219553
67.31999908,59.334618
0.0,0.0028448105
10.75999939,11.378115
5.86,7.789186
0.0,-0.11763239
0.0,0.17864513
69.87999992,60.840034
2.14000427,2.8336966
5.74000275,5.6746264
2.15999924,0.31924152
0.0,0.4987688
76.86,52.56108
13.39999847,8.179291
24.79999847,11.053705
43.58000053,63.106476
15.10000336,12.528242
46.70000031,46.454422
0.0,0.16540623
14.38000061,15.444349
18.46000366,16.865656
0.0,0.5605221
31.12000198,24.065613
74.0199997,58.30658
24.20000305,22.13092
30.6,24.158329
0.0,0.22340965
72.05999889,64.54197
58.25999908,53.068367
48.14000015,50.51796
8.45999756,7.840457
27.11999786,32.19349
0.0,0.13395596
0.0,40.516327
12.33999969,12.661234
0.0,-0.009724617
2.86,2.0587053
0.0,1.5476017
33.21999863,36.434513
51.72000198,49.494453
50.65999924,69.65079
9.42000092,11.957878
15.90000031,15.05567
12.92000305,11.537477
48.60000183,50.104645
64.8,59.03337
0.0,0.082277775
67.95999802,59.628418
21.65999939,21.308119
39.78,58.610344
79.51999905,71.87896
49.71999962,69.1208
0.0,-0.03942728
29.14000061,28.903881
45.55999985,52.962296
45.55999908,47.71234
34.13999878,45.249527
0.0,-0.031047821
0.0,0.16936779
36.22000198,35.74164
4.92,5.810578
25.60000183,23.51558
2.20000153,25.935408
52.22000046,42.378357
11.70000153,15.008334
0.0,-0.059972763
0.21999908,1.8114352
93.41999901,69.14982
22.06000061,19.198917
75.71999847,63.644432
0.0,-0.04994154
15.82000092,15.131787
37.17999954,43.670982
0.0,0.44030952
77.96000038,68.35223
0.0,-0.052448273
0.0,0.07612753
0.0,0.110948086
65.90000046,56.254074
51.73999901,51.05504
12.90000092,16.816967
0.0,-0.051799774
12.3,12.640871
1.58000305,3.6820774
0.0,0.114608765
0.0,0.23803997
56.66000053,59.028275
29.09999924,47.473534
0.0,-0.037232876
0.0,-0.010656834
42.85999954,24.145075
22.43999939,48.94261
85.99999916,71.77785
35.84000092,34.67553
55.84000008,42.57395
48.46000092,51.927185
36.18000336,28.775347
74.29999916,71.19729
0.0,-0.07616711
47.16000053,46.48011
83.71999893,71.66935
85.39999943,71.38603
53.80000198,44.55677
45.43999897,66.93623
0.0,0.16792297
90.09999962,69.0961
0.0,-0.1700468
13.20000244,30.545603
24.97999878,22.59143
4.57999908,5.2325845
0.0,0.23450089
22.49999985,34.829723
6.89999939,5.068495
104.7199994,70.99929
0.0,3.1087666
34.46000397,31.412241
0.0,-0.055517197
52.25999939,33.870567
75.81999931,49.2929
0.0,-0.032034874
53.02000122,51.96399
32.40000092,30.183168
46.87999878,47.47435
0.0,-0.04960394
5.65999908,8.620876
30.01999893,23.299536
57.36000168,53.489616
0.0,0.6292887
27.25999954,30.019838
69.62000168,62.787178
36.12000122,32.91115
36.07999878,54.185966
41.03999985,23.44234
95.64000046,70.605095
32.10000153,26.18355
0.0,39.90545
64.60000122,47.285164
29.24000092,23.695358
1.89999847,-0.61753273
80.78000008,68.2153
0.0,0.16875076
37.36000092,56.808937
0.0,0.13587856
40.00000168,41.823776
22.13999924,39.911423
70.27999954,56.920387
102.9199992,71.44614
38.58000023,53.929497
22.26,22.1362
3.59999725,3.7938323
62.07999908,48.95894
48.77999912,69.795074
63.90000076,60.94677
38.03999817,32.851665
0.0,41.20424
0.0,0.18529749
0.0,0.2775898
38.62000076,46.03511
0.0,0.59012604
48.68000008,50.05722
0.0,0.33853722
38.45999939,58.97119
13.72000046,14.305614
0.0,0.116722584
28.08000336,21.221684
0.0,0.18063164
18.57999908,11.67576
0.0,0.07284975
38.96000183,21.965473
54.71999912,67.50023
0.0,-0.0782156
30.88000046,56.122513
30.74000046,31.32561
78.39999878,64.45686
56.9,54.25004
30.00000031,32.473488
35.31999954,57.906616
64.79999847,58.647842
30.76000137,23.239836
45.10000076,47.96263
51.55999924,41.579033
46.49999886,67.65682
51.85999908,59.52852
83.96000015,71.44486
38.34000092,39.95044
75.59999992,69.44543
54.72000015,46.4673
34.97999985,34.892487
31.19999954,24.005848
79.81999893,64.93852
45.48000023,54.250877
41.76000015,47.309578
52.29999954,39.62767
0.0,40.24008
0.0,0.1573453
70.25999962,57.774376
0.0,-0.12121391
71.04000053,57.920456
57.70000008,71.6747
62.38000214,44.217995
2.88000183,1.9472513
0.0,0.07403612
33.71999847,36.91236
57.12000046,59.205223
86.89999981,70.26937
0.0,0.24530125
69.72000061,56.53923
6.21999817,11.984789
75.6599987,64.94852
15.72000458,17.693073
0.0,0.117022514
0.0,0.22201157
32.66000061,47.311943
65.16000061,60.77008
0.0,0.4601388
0.0,0.074287415
0.0,0.0824523
0.0,0.15094376
75.94000046,70.052185
0.0,0.15379047
55.45999985,69.19655
0.0,40.26313
14.97999878,20.819592
0.0,0.30956268
0.0,0.39135838
0.0,0.054985523
28.39999725,25.114313
0.0,-0.17260075
68.12,48.23149
0.0,-0.13563728
70.97999992,56.693535
49.61999962,49.892876
0.0,-0.038487434
11.09999908,7.4757495
66.32000046,61.137474
10.98000137,8.961283
70.28000023,64.29399
0.0,-0.059267998
0.0,50.212593
4.55999878,37.829926
0.0,0.10439491
0.0,-0.11831856
92.55999935,70.14981
0.0,-0.019919872
0.0,-0.13586903
34.99999939,60.18998
72.59999954,63.812447
0.0,-0.024986744
13.70000153,12.7668295
33.80000031,30.337248
54.73999954,50.799835
47.41999878,67.561066
51.45999939,66.15254
0.0,0.3750763
25.04000427,23.447655
44.58000061,47.906715
0.0,-0.004463196
60.13999969,70.54537
26.60000031,27.469229
9.84000092,20.611824
10.82000275,10.766554
33.16000092,29.634737
38.01999847,41.88562
51.88000214,45.016174
76.15999947,54.655853
0.0,0.09291887
35.73999908,47.539886
6.54000275,6.4502106
0.0,0.55409145
6.87999908,21.963305
9.96000061,10.667913
42.17999878,31.110424
39.67999908,27.793959
0.0,-0.05285263
60.01999931,71.125656
17.16000092,11.647851
0.0,-0.054498672
61.87999908,56.391182
67.36000015,57.825424
0.0,0.22297192
0.0,-0.11176109
0.0,0.009305
59.32000038,49.855873
0.0,0.24340534
51.23999863,42.58326
65.54000046,60.593346
11.20000015,9.920436
71.55999863,59.9871
0.0,0.563097
0.0,-0.055473328
62.40000046,56.17488
2.60000336,4.732628
45.96000137,47.25689
45.28000153,24.859173
16.90000031,14.980316
60.76,67.065834
34.02000031,58.72477
0.0,0.32933617
41.33999893,39.51716
0.0,0.5450554
0.0,0.15865612
37.22,36.03679
14.25999893,21.978266
81.83999939,69.35985
83.82000076,58.311073
45.87999985,52.838234
